NPA,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2015,Home_Ownership_moe_2015,Residential_Occupancy_2014,Residential_Occupancy_moe_2014,Rental_Costs_2014,Rental_Costs_moe_2014
2,2.6,1079,2.6,1079,2.6,1079,2.6,1081,2.6,1083,47,504,47,505,47,505,47,507,47,509,1501,1491,1473,1449,1446,70,69,68,66,64,29,145,25,126,26,134,1.22,5,0.97,4,0.24,1,0.49,2,0,0,0,0,0,0,5.6,23,7.06,29,7.3,30,4.62,19,3.89,16,2.67,11,2.67,11,0.3,2,1.1,7,0.9,6,1.1,7,217562,180860,1.11,12,0.93,10,1.2,13,0.65,7,7,80,35,5,94,5,754,
3,4.6,5283,4.1,4730,4.1,4752,4.1,4746,3.8,4369,33,1723,38,1792,38,1792,38,1796,42,1822,2261,2177,2145,2088,2033,70,69,69,69,68,23,413,19,344,25,450,16.09,186,36.51,422,33.3,385,64.79,749,3.37,39,16,185,1.73,20,8.91,103,12.37,143,10.73,124,10.21,118,9.78,113,7.61,88,6.66,77,0.2,6,0.1,4,0.5,17,0.7,24,467716,391928,0.34,16,0.17,8,0.42,20,1.26,55,10,472,47,4,86,2,1059,
4,1.2,408,1.2,406,1.2,404,1.2,402,1.2,401,89,364,89,362,89,360,89,358,89,357,3820,3768,3728,3722,3660,44,44,44,42,40,9,34,9,34,10,34,1.21,4,1.21,4,1.82,6,1.52,5,0.3,1,0,0,1.22,4,9.42,31,13.06,43,6.99,23,7.29,24,5.77,19,4.56,15,8.2,27,0,0,0.2,1,0,0,0.3,1,810017,845392,0,0,0,0,0,0,0.25,1,0,0,100,0,98,4,,
5,1.9,322,2,326,2,331,2,329,2,332,58,187,59,191,59,196,59,194,59,197,1057,1056,1053,1061,1041,58,57,56,56,55,71,135,62,122,66,128,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,0.6,1,2.39,4,1.79,3,0.6,1,2.39,4,1.2,2,1.1,2,2.2,4,0.6,1,6,11,,45200,12.58,41,19.94,66,9.42,31,7.83,26,0,0,25,14,87,7,613,122
6,2,813,2,816,2,817,2,820,2.1,825,84,679,84,682,84,683,84,686,84,691,1081,1078,1081,1079,1073,69,68,67,65,63,65,446,56,385,62,423,1.24,5,0.25,1,0,0,0,0,0,0,0,0,0,0,3.72,15,4.22,17,4.46,18,4.71,19,2.73,11,2.23,9,1.49,6,1.2,7,1,6,1.5,9,1.2,7,41056,55545,6.62,54,6.61,54,6.59,54,4.24,35,0,0,28,11,83,5,743,
7,0.8,430,0.8,427,0.8,426,0.8,423,0.8,420,100,430,100,427,100,426,100,423,100,420,5215,5211,5157,5157,5105,36,36,36,34,33,6,25,6,26,6,27,0.73,4,0.73,4,0.36,2,0.73,4,0.36,2,0.36,2,0.73,4,5.66,31,6.57,36,5.84,32,8.94,49,6.02,33,7.12,39,3.47,19,0,0,0,0,0.2,1,0,0,1656526,1509529,0,0,0,0,0,0,0,0,0,0,100,0,84,7,,
8,1.7,1029,1.7,1036,1.7,1030,1.7,1024,1.5,901,42,434,43,441,42,435,43,437,48,429,1910,1901,1873,1870,1838,53,52,52,50,49,18,78,17,76,19,84,5.36,32,0,0,0.5,3,1.01,6,0.5,3,0.84,5,0.84,5,3.69,22,2.85,17,2.01,12,2.35,14,7.21,43,1.51,9,1.34,8,0.1,1,0,0,0.4,3,0.4,3,233714,229197,0,0,0.19,2,0.1,1,0.11,1,16,163,70,11,90,5,,
9,3.1,294,3.2,305,3.2,302,3.3,305,3.3,305,94,276,90,273,89,270,90,273,90,273,1417,1341,1254,1213,1198,61,62,64,63,61,35,96,35,95,40,108,13.89,13,12.83,12,11.7,11,8.51,8,2.13,2,2.13,2,0,0,13.89,13,16.03,15,16.03,15,17.1,16,7.48,7,8.55,8,6.41,6,1.1,3,1.2,3,0.4,1,1.2,3,260211,245591,0.66,2,0.66,2,0.98,3,1.31,4,0,0,65,15,85,10,1083,378
10,2.9,1586,2.9,1592,2.9,1592,2.9,1595,2.9,1599,75,1188,75,1194,75,1194,75,1196,75,1201,1100,1085,1077,1068,1068,63,63,62,60,58,48,570,41,484,50,601,2.36,13,1.81,10,0.54,3,1.45,8,0,0,0,0,0.18,1,11.61,64,10.52,58,9.61,53,6.89,38,5.8,32,4.54,25,2.72,15,0.4,4,0.6,6,0.8,9,1.4,15,141766,107523,2.95,47,3.64,58,5.2,83,3.38,54,0,0,36,6,91,3,751,
11,2.4,1231,2.4,1225,2.4,1225,2.4,1212,2.4,1209,64,788,64,784,64,784,64,771,64,768,2341,2245,2177,2117,2045,55,56,56,56,56,20,153,17,137,21,159,2.35,12,1.76,9,2.75,14,2.94,15,3.33,17,1.57,8,0.98,5,7.65,39,10.39,53,13.53,69,9.02,46,8.23,42,6.67,34,9.41,48,0,0,0.3,3,0.1,1,0.4,4,529879,455198,0.08,1,0.16,2,0.08,1,0.08,1,0,0,63,7,97,4,974,
