NPA,Violent_Crime_Rate_2016,Violent_Crimes_2016,Violent_Crime_Rate_2015,Violent_Crimes_2015,Violent_Crime_Rate_2013,Violent_Crimes_2013,Violent_Crime_Rate_2011,Violent_Crimes_2011,Property_Crime_Rate_2016,Property_Crimes_2016,Property_Crime_Rate_2015,Property_Crimes_2015,Property_Crime_Rate_2013,Property_Crimes_2013,Property_Crime_Rate_2011,Property_Crimes_2011,Disorder_Call_Rate_2016,Disorder_Calls_2016,Disorder_Call_Rate_2015,Disorder_Calls_2015,Disorder_Call_Rate_2013,Disorder_Calls_2013,Animal_Control_Call_Rate_2016,Animal_Control_Calls_2016,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Animal_Control_Call_Rate_2013,Animal_Control_Calls_2013,Animal_Control_Call_Rate_2011,Animal_Control_Calls_2011,Fire_Call_Rate_2016,Fire_Calls_2016,Fire_Call_Rate_2015,Fire_Calls_2015,Fire_Call_Rate_2013,Fire_Calls_2013,Nuisance_Violations_2016,Nuisance_Violations_Total_2016,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,Nuisance_Violations_2013,Nuisance_Violations_Total_2013
2,4.9,11,4.5,10,6.9,15,9.3,19,46.9,105,31.1,69,32.8,71,120.16,245,200.5,449,196.8,436,243.7,528,36.2,81,36.2,78,43.8,95,58.4,119,46.9,105,38.4,85,35.1,76,5.4,58,13.8,149,5.8,63
3,4.1,33,2.1,17,2.2,17,2,13,82.4,658,61.1,485,59.5,465,77.4,508,207.2,1655,183.2,1454,169.5,1324,26.2,209,26.2,233,33.4,261,36.7,241,77,615,64.8,514,60.7,474,1.4,64,5.7,269,4,190
4,0,0,0.9,1,0,0,0,0,9.3,10,19.5,21,9.4,10,12.97,13,51.9,56,46.4,50,39.4,42,7.4,8,7.4,22,20.7,22,31.9,32,48.2,52,44.5,48,31,33,1.7,7,0.5,2,2.2,9
5,20.3,16,18.8,14,24.9,19,21.6,13,34.2,27,67.1,50,51.1,39,72.97,44,287.3,227,318.1,237,329,251,102.5,81,102.5,74,114,87,170.8,103,35.4,28,41.6,31,45.9,35,27.9,91,30.2,100,17.6,58
6,28.6,53,24.4,42,31,55,27.5,45,100.9,187,100.9,174,94.1,167,92.19,151,641.1,1188,567.9,979,482.8,857,138.7,257,138.7,220,157.8,280,179.5,294,45.3,84,64.4,111,49.6,88,26.6,217,39.9,326,32.7,268
7,1.5,2,0,0,0,0,0,0,19.1,25,22.1,29,20.9,27,31.85,38,105.5,138,101.5,133,83.5,108,14.5,19,14.5,35,23.2,30,36.9,44,81,106,69.5,91,44.1,57,5.2,22,3.8,16,2.4,10
8,1.1,2,0.5,1,1.3,2,0.6,1,26.4,49,16.8,31,19.1,29,18.74,33,92.6,172,89.7,166,95.1,144,28,52,28,63,65.4,99,42.6,75,26.9,50,37.8,70,51.5,78,4,41,12.5,129,4.4,45
9,3.2,2,3.3,2,0,0,3.7,2,50,31,37.9,23,53.2,31,63.2,34,121,75,143.3,87,154.4,90,46.8,29,46.8,22,77.2,45,91.1,49,41.9,26,44.5,27,27.4,16,15.1,46,14.6,44,19.7,60
10,17.4,66,11.5,43,13.5,48,14.9,50,72.1,273,77.6,290,78.4,279,84.05,282,383.1,1450,293.4,1096,354.4,1262,59.7,226,59.7,302,100.5,358,116.5,391,38,144,42,157,52,185,23.6,376,40.8,650,29.8,476
11,0.8,2,0.8,2,1.6,4,2.1,5,32.6,86,30.1,79,32,82,39.46,93,92.7,245,89.6,235,121.3,311,23.1,61,23.1,86,22.6,58,43.7,103,46.6,123,38.1,100,19.1,49,1.6,19,4.2,51,2.6,31
