NPA,Long_Commute_2014,Long_Commute_moe_2014,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2013,Sidewalk_Miles_2013,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
2,47,11,1.5,1.5,1.5,1.6,1.2,1.2,1.2,1.15,1.17,72.3,7.08,100,1079,100,1079,100,1081,100,1082,35,879,43,1068,54,1348
3,38,7,2.2,2.1,2.3,2.2,1.48,1.48,1.5,1.55,1.55,83.2,31.55,100,4730,100,4752,100,4746,100,4468,34,2346,35,2438,33,2697
4,59,14,1.8,1.7,1.7,1.6,1.17,1.17,1.17,1.17,1.17,32.8,2.31,93,377,94,381,100,402,100,401,8,59,9,60,5,53
5,23,27,1.6,1.6,1.7,1.5,1.16,1.16,1.16,1.19,1.19,39,1.8,100,326,100,331,100,329,100,332,17,66,15,60,17,67
6,63,10,1.8,1.8,1.8,1.7,1.28,1.28,1.3,1.3,1.3,41.2,5.43,100,816,100,817,100,820,100,825,74,1258,77,1312,86,1375
7,37,17,1.5,1.5,1.5,1.5,1.19,1.19,1.19,1.19,1.19,53.2,6.53,71,302,74,314,89,376,89,375,30,178,31,220,58,405
8,51,10,1.3,1.3,1.3,1.3,1.13,1.13,1.16,1.17,1.17,58.9,6.48,100,1036,99,1015,100,1024,100,901,9,209,11,242,9,193
9,24,10,1.7,1.7,1.7,1.7,1.38,1.38,1.38,1.38,1.39,49,1.97,100,305,100,302,100,305,100,305,25,197,29,232,31,251
10,54,10,1.7,1.6,1.6,1.6,1.36,1.35,1.35,1.35,1.35,65,11.05,100,1592,100,1592,100,1595,100,1599,42,1528,42,1498,42,1453
11,20,6,1.7,1.7,1.8,1.8,1.2,1.2,1.2,1.25,1.26,64.8,7.75,100,1225,100,1225,100,1212,100,1209,67,734,76,839,65,843
12,46,8,1.3,1.4,1.4,1.4,1.05,1.05,1.05,1.08,1.08,33.1,0.99,100,1257,100,1257,100,1257,100,1257,95,668,116,814,123,860
13,44,5,1.6,1.6,1.6,1.6,1.24,1.24,1.24,1.24,1.24,47.6,5.07,100,1830,100,1827,100,1810,100,1812,13,249,17,319,21,406
